SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
2019-20,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,21901300,2020-08-11T00:00:00,POR @ DAL,W,41.083333333333336,17,32,0.531,9,17,0.529,18,18,1.0,2,3,5,8,3,1,0,3,2,11,61,8,79.0,0,0,1,1,1,1,240,15,21,6883,10,13,3228,7,26,1,2526,8691,6392,746,1782,3910,7039,21839,9590,50,1,4621,19,1909,101
2019-20,201935,James Harden,1610612745,HOU,Houston Rockets,21900282,2019-11-30T00:00:00,HOU vs. ATL,W,30.68333333333333,16,24,0.667,8,14,0.5710000000000001,20,23,0.87,0,3,3,8,5,3,1,1,3,11,60,50,82.6,0,0,1,1,1,1,5862,38,247,2660,25,61,2918,4,3,6091,11304,8691,11273,746,331,348,2206,14867,14861,50,3,1,6,1909,101
2019-20,203078,Bradley Beal,1610612764,WAS,Washington Wizards,21900851,2020-02-24T00:00:00,WAS vs. MIL,L,41.016666666666666,19,33,0.5760000000000001,8,13,0.615,9,10,0.9,1,1,2,3,9,0,0,0,4,5,55,-4,52.9,0,0,1,11184,11184,11184,247,4,11,5399,25,103,2507,321,451,5861,5289,15663,14253,5244,5,10567,7039,1,18631,1560,6,14035,642,1909,101
2019-20,202681,Kyrie Irving,1610612751,BKN,Brooklyn Nets,21900721,2020-01-31T00:00:00,BKN vs. CHI,W,31.88333333333333,19,23,0.826,7,9,0.778,9,10,0.9,0,5,5,5,4,1,0,0,3,8,54,20,66.5,0,0,1,1,1,1,4950,4,352,1310,59,860,1291,321,451,5861,11304,4038,6392,2442,787,3910,7039,1,14861,314,8,917,114,1909,101
2019-20,203933,T.J. Warren,1610612754,IND,Indiana Pacers,21901242,2020-08-01T00:00:00,IND vs. PHI,W,40.61666666666667,20,29,0.69,9,12,0.75,4,4,1.0,0,4,4,3,1,0,2,1,4,8,53,18,67.3,0,0,1,1,1,1,303,1,54,2622,10,179,1302,2455,3502,1,11304,5976,8556,5244,7875,10567,720,14867,18631,314,10,1243,99,1909,101
2019-20,1626156,D'Angelo Russell,1610612744,GSW,Golden State Warriors,21900120,2019-11-08T00:00:00,GSW @ MIN,L,40.09166666666667,19,37,0.514,7,17,0.41200000000000003,7,8,0.875,0,9,9,5,3,3,2,1,0,8,52,-2,82.3,0,0,1,11184,11184,11184,385,4,3,7107,59,13,6453,742,894,5983,11304,784,1902,2442,1782,348,720,14867,1,314,12,12258,8,1909,101
2019-20,203114,Khris Middleton,1610612749,MIL,Milwaukee Bucks,21900705,2020-01-28T00:00:00,MIL vs. WAS,W,35.85666666666667,16,26,0.615,7,10,0.7,12,12,1.0,1,9,10,6,2,0,0,1,2,6,51,24,70.0,1,0,1,1,1,1,2096,38,138,4279,59,536,1654,97,222,1,5289,784,1370,1685,3918,10567,7039,14867,9590,894,13,467,65,1,101
2019-20,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,21900342,2019-12-08T00:00:00,LAL vs. MIN,W,39.266666666666666,20,29,0.69,0,2,0.0,10,10,1.0,3,4,7,6,1,4,1,1,1,8,50,19,81.4,0,0,1,1,1,1,534,1,54,2622,12218,11477,12218,195,451,1,1220,5976,3402,1685,7875,87,2206,14867,4186,314,17,1063,13,1909,101
2019-20,1629027,Trae Young,1610612737,ATL,Atlanta Hawks,21900821,2020-02-20T00:00:00,ATL vs. MIA,W,39.54833333333333,12,25,0.48,8,15,0.5329999999999999,18,19,0.9470000000000001,0,2,2,8,7,2,1,1,4,16,50,10,66.4,0,0,1,1,1,1,481,316,184,9960,25,37,3224,7,15,5768,11304,11973,14253,746,54,1252,2206,14867,18631,2,17,3657,117,1909,101
2019-20,203897,Zach LaVine,1610612741,CHI,Chicago Bulls,21900226,2019-11-23T00:00:00,CHI @ CHA,W,34.73333333333333,17,28,0.607,13,17,0.765,2,2,1.0,0,4,4,0,4,2,0,3,5,4,49,15,55.8,0,0,1,1,1,1,2893,15,74,4411,1,13,1301,5552,6839,1,11304,5976,8556,16549,787,1252,7039,21839,20977,2590,24,1900,459,1909,101
